Telegram Handle,Impact Hours,
sembrestels,43.082,
santigs67,21.038,
cranders71,20.434,
juankbell,19.338,
manualzuru,19.114,
akrtws,17.888,
blairv,14.365,
fabianvb,10.776,
zeptimusq,10.087,
hbesso31,9.396,
jeffemmett,8.434,
daithic,8.316,
jessicazartler,7.661,
paulo_c2d,6.634,
quartagiulio,6.562,
jonassft,4.999,
ygg_anderson,4.491,
vivszaid,4.008,
markop,3.730,
fabimol,1.963,
aidanbrodieo,1.933,
randomshinichi,1.928,
solsista,1.919,
liviade,1.657,Praise Quantifiers
fvigevani,1.657,
griffgreen,1.657,Praise Quantifiers
loie_giveth,1.657,
papa_raw,1.657,
rodrigouy,1.657,
vntrp,1.657,
gfriis,1.517,
lkngtn,1.451,
proofoftom,1.451,
gracerachmany,1.450,
sepu85,1.136,
lbagic,0.968,
santosthegreat,0.830,
simunstrukan,0.830,
phil_h,0.762,
benjaminscholtz,0.621,
geleeroyale,0.554,
anjablaj,0.552,
danlessa,0.511,
lanski13,0.484,
econaut6,0.208,
cpt_grog,0.180,
bierlingm,0.028,
aminlatifi,0.028,
llll79,0.028,
witwiki3,0.028,
