Telegram Handle,Impact Hours
sembrestels,98.423
akrtws,85.629
jessicazartler,59.780
solsista,54.388
jeffemmett,38.293
lkngtn,37.102
santigs67,32.061
vntrp,30.921
manualzuru,30.571
cranders71,27.319
juankbell,27.123
loie_giveth,23.933
rodrigouy,23.530
fvigevani,20.272
fiorebotta,18.615
willjgriff,18.615
xgabi,18.615
blairv,17.399
fabianvb,13.118
randomshinichi,12.943
d8n13l,12.464
hbesso31,11.270
quartagiulio,10.310
zeptimusq,10.087
paulo_c2d,9.647
liviade,8.337
griffgreen,8.337
daithic,8.316
mzargham,8.037
trentmc0,6.821
jakublanc,6.218
phil_h,5.662
gracerachmany,5.581
jameszaki,5.288
jonassft,4.999
niranb,4.685
simondlr,4.607
ygg_anderson,4.491
markop,4.473
krisparuch,4.403
geleeroyale,4.379
rpp63,4.270
krrisis,4.120
vivszaid,4.008
wertuals,2.358
ivanthinking,2.066
bierlingm,2.013
crypt0dawg,1.998
sbilbao,1.985
fabimol,1.963
aidanbrodieo,1.933
benjaminscholtz,1.890
gfriis,1.751
papa_raw,1.657
barnabemonnot,1.612
matslats,1.612
willruddick,1.612
juliet_myea,1.599
sepu85,1.590
proofoftom,1.451
danlessa,1.367
petheth,1.260
burrrata,1.216
renzod5,1.179
upaul,1.179
lbagic,0.968
simunstrukan,0.967
felixfalafel,0.957
santosthegreat,0.830
blockchainberlin,0.806
nikoline_nik,0.751
tylerdmace,0.594
freedumbs,0.580
josevicente1,0.569
anjablaj,0.552
lanski13,0.484
luukweber,0.467
existenialstoic,0.460
davidhq,0.454
jonathanbsci,0.454
meta_dreamer,0.454
quentin_hb,0.454
aminlatifi,0.374
paxthemax,0.346
sponnet2,0.346
codersinblack,0.299
freddbomba,0.216
econaut6,0.208
cpt_grog,0.193
gijsspoor,0.114
hubway,0.114
hxrts,0.090
denissrgn,0.089
tjayrush,0.056
wolfofcurrency,0.038
llll79,0.028
witwiki3,0.028
burningfiat,0.025
immortaz,0.025
exiledsurfer,0.020
rubenrussel7,0.013
